time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-10T15:06:46.970Z,-21.6179,-69.5058,10,4.6,mb,24,101,0.303,1,us,us7000k7n6,2023-06-11T05:18:38.215Z,"82 km NNE of María Elena, Chile",earthquake,5.31,1.835,0.107,26,reviewed,us,us
2023-06-10T14:50:38.771Z,11.7931,125.8935,40.935,4.9,mb,54,122,4.704,0.9,us,us7000k7n5,2023-06-10T15:18:18.040Z,"47 km E of Sulat, Philippines",earthquake,11.39,7.473,0.056,105,reviewed,us,us
2023-06-10T13:21:06.706Z,-30.7268,-71.578,40.55,4.8,mb,34,97,0.687,1.06,us,us7000k7mt,2023-06-10T13:39:31.040Z,"Coquimbo, Chile",earthquake,6.2,5.454,0.042,173,reviewed,us,us
2023-06-10T09:12:50.868Z,-15.977,-179.1556,10,5.8,mww,94,49,3.199,0.67,us,us7000k7m3,2023-06-11T09:16:43.654Z,"Fiji region",earthquake,11.05,1.762,0.069,20,reviewed,us,us
2023-06-10T09:12:34.296Z,22.8476,120.6217,19.897,4.7,mwr,48,84,0.424,0.74,us,us7000k7ly,2023-06-10T18:21:07.090Z,"Taiwan",earthquake,3.12,3.88,0.059,28,reviewed,us,us
2023-06-10T05:31:54.877Z,22.854,120.6509,25.817,4.9,mwr,119,71,0.397,0.71,us,us7000k7l7,2023-06-10T09:55:48.018Z,"35 km SSE of Yujing, Taiwan",earthquake,4.43,4.886,0.061,26,reviewed,us,us
2023-06-09T22:46:20.746Z,16.4597,145.7167,144.538,4.5,mb,51,80,1.214,0.47,us,us7000k7jw,2023-06-09T23:51:06.040Z,"Anatahan region, Northern Mariana Islands",earthquake,11.24,7.31,0.06,82,reviewed,us,us
2023-06-09T22:25:00.902Z,-2.8117,129.2318,10,4.7,mb,43,43,1.827,0.6,us,us7000k7je,2023-06-09T23:29:21.040Z,"61 km NNE of Masohi, Indonesia",earthquake,6.54,1.888,0.104,28,reviewed,us,us
2023-06-09T21:33:05.637Z,-16.8419,-173.9673,100.746,4.8,mb,53,50,4.173,0.57,us,us7000k7j3,2023-06-13T04:36:48.040Z,"99 km S of Hihifo, Tonga",earthquake,3.31,6.822,0.038,211,reviewed,us,us
2023-06-09T21:21:42.546Z,-60.4971,160.3524,10,5.9,mww,63,56,6.063,0.48,us,us7000k7iz,2023-06-10T21:25:29.591Z,"Macquarie Island region",earthquake,6.67,1.706,0.083,14,reviewed,us,us
2023-06-09T21:04:10.267Z,-23.2767,170.6271,10,4.9,mb,30,52,3.005,0.29,us,us7000k7iw,2023-06-10T03:02:23.040Z,"southeast of the Loyalty Islands",earthquake,8.21,1.88,0.116,23,reviewed,us,us
2023-06-09T20:43:28.565Z,-47.315,-12.6376,10,5.7,mww,133,46,16.56,0.7,us,us7000k7id,2023-06-10T20:46:57.868Z,"southern Mid-Atlantic Ridge",earthquake,10.25,1.754,0.065,23,reviewed,us,us
2023-06-09T17:17:29.278Z,-1.2277,98.2117,6.959,4.6,mb,78,108,2.594,0.44,us,us7000k7gk,2023-06-09T18:07:13.040Z,"177 km WNW of Tuapejat, Indonesia",earthquake,4.4,4.833,0.074,61,reviewed,us,us
2023-06-09T11:33:35.761Z,7.1964,-33.9989,10,5.3,mww,65,55,12.788,0.57,us,us7000k7bx,2023-06-09T11:53:52.040Z,"central Mid-Atlantic Ridge",earthquake,10.72,1.87,0.078,16,reviewed,us,us
